Date	TMin	TMax
2024-04-12	13.2	20
2024-04-13	12	23.1
2024-04-14	8.4	14.7
2024-04-15	4.3	10.8
2024-04-16	3.8	12.5
2024-04-17	3.6	9.9
2024-04-18	0.8	12.1
2024-04-19	5.5	11.1
2024-04-20	5.2	10.5
2024-04-21	1.6	11.1
2024-04-22	0.1	10.4
2024-04-23	-1.9	10.9
2024-04-24	2.3	10.4
2024-04-25	1.9	10.5
2024-04-26	5.6	12.9
2024-04-27	6.1	16.4
2024-04-28	5.5	16.5
2024-04-29	4.2	19.7
2024-04-30	11.2	21.9
2024-05-01	13.8	24.4
2024-05-02	13.4	26
2024-05-03	6.6	13.7
2024-05-04	5.2	18.2
2024-05-05	8.1	17
2024-05-06	6.8	18.6
2024-05-07	10.9	19.4
2024-05-08	8	15.6
2024-05-09	5.4	18.4
2024-05-10	6.9	20.3
2024-05-11	10.1	23.1
2024-05-12	12.7	25.2
2024-05-13	14.3	24.8
2024-05-14	12.6	26.7
2024-05-15	11.9	21.6
2024-05-16	14.2	20.5
2024-05-17	12.7	19.7
2024-05-18	12.3	23.5
2024-05-19	12.7	22.8
2024-05-20	11.2	20.9
2024-05-21	10.2	23.7
2024-05-22	13.5	19.5
2024-05-23	10.1	19.4
2024-05-24	8.6	18.1
2024-05-25	9.1	18.8
2024-05-26	9.3	21.1
2024-05-27	9.7	18.1
2024-05-28	9	18.8
2024-05-29	9.4	18.3
2024-05-30	9.8	18.4
2024-05-31	11.6	19.5
2024-06-01	13.7	16.8
2024-06-02	12.2	17.5
2024-06-03	10.3	17.4
2024-06-04	12.6	21.5
2024-06-05	6.7	17
2024-06-06	6	18.3
2024-06-07	5.7	19.2
2024-06-08	6.1	19
2024-06-09	5.2	16.7
2024-06-10	8.6	15.4
2024-06-11	7.9	16
2024-06-12	8.9	15.3
2024-06-13	8.9	19
2024-06-14	12.4	18.3
2024-06-15	11.1	17.6
2024-06-16	11.2	18.6
2024-06-17	11.6	21
2024-06-18	10.6	17.9
2024-06-19	9.8	19.9
2024-06-20	9.4	21.1
2024-06-21	12.6	19.9
2024-06-22	11.1	20.6
2024-06-23	10	23.7
2024-06-24	10.4	26.4
2024-06-25	14.7	28.3
2024-06-26	17.4	30.2
2024-06-27	16.4	28.7
2024-06-28	10.7	21.5
2024-06-29	9.2	24.9
2024-06-30	14	22.2
2024-07-01	12.1	19
2024-07-02	10.8	18.2
2024-07-03	8.3	17.4
2024-07-04	14	18.2
2024-07-05	13.5	17.6
2024-07-06	12.3	20.5
2024-07-07	11.9	18
2024-07-08	11	21.6
2024-07-09	16.6	28.2
2024-07-10	14	23.6
2024-07-11	13.5	20.8
2024-07-12	13.6	15.4
2024-07-13	11.7	16.8
2024-07-14	9.7	21.4
2024-07-15	10.1	24.6
2024-07-16	15.5	21.4
2024-07-17	12.5	22.9
2024-07-18	11.4	27
2024-07-19	14.5	28.9
2024-07-20	15.2	30
2024-07-21	15.8	22.2
2024-07-22	12.1	23.8
2024-07-23	16.6	23
2024-07-24	11.4	22.1
2024-07-25	11.3	23.9
2024-07-26	12	22.7
2024-07-27	10	23.1
2024-07-28	12	23.6
2024-07-29	10.6	25.8
2024-07-30	14	29.5
2024-07-31	14.9	27.1
2024-08-01	15.9	23.2
2024-08-02	14.1	26.5
2024-08-03	15.9	24.7
2024-08-04	14.4	20.9
2024-08-05	13.1	24.2
2024-08-06	12.8	29.5
2024-08-07	15.9	23.4
2024-08-08	16.6	24.1
2024-08-09	13.7	24.2
2024-08-10	16	24.8
