Date	TMin	TMax
2022-04-19	2.6	19.1
2022-04-20	5.2	17.7
2022-04-21	4.9	18.1
2022-04-22	8.7	17.8
2022-04-23	9.3	18.7
2022-04-24	7.7	17.5
2022-04-25	6.9	10.5
2022-04-26	2.4	13.8
2022-04-27	0.2	13.6
2022-04-28	0.2	15.2
2022-04-29	5.4	13.1
2022-04-30	1.3	12.5
2022-05-01	0.3	15.6
2022-05-02	1.7	17.7
2022-05-03	2.5	15.9
2022-05-04	3.9	16.1
2022-05-05	3.8	19.4
2022-05-06	8.4	21
2022-05-07	9.4	20.6
2022-05-08	7.1	17
2022-05-09	3.1	22.7
2022-05-10	9.5	23.8
2022-05-11	10.9	21.1
2022-05-12	9.5	19.4
2022-05-13	10.9	18.3
2022-05-14	9.5	21.7
2022-05-15	7.3	25
2022-05-16	13.5	24.5
2022-05-17	11	25.2
2022-05-18	12.3	24.7
2022-05-19	9.4	23
2022-05-20	7.5	20.1
2022-05-21	7.5	17.6
2022-05-22	5.8	21.4
2022-05-23	12.4	21.9
2022-05-24	7.9	17.5
2022-05-25	6.9	17.8
2022-05-26	13.7	19
2022-05-27	10.8	15.9
2022-05-28	5.5	16.2
2022-05-29	5.2	14.2
2022-05-30	4.3	14.7
2022-05-31	6.1	18.2
2022-06-01	6.6	16.5
2022-06-02	4.6	19.6
2022-06-03	10.3	23.7
2022-06-04	11.3	22.7
2022-06-05	13	21.4
2022-06-06	12.4	18.1
2022-06-07	12.9	19.6
2022-06-08	13.3	18.8
2022-06-09	10.3	20.2
2022-06-10	10.2	22.1
2022-06-11	12	21.9
2022-06-12	10.2	21
2022-06-13	7.9	18.2
2022-06-14	6	21.1
2022-06-15	8	23.9
2022-06-16	8.5	24.4
2022-06-17	12	28.9
2022-06-18	14.7	27
2022-06-19	12.4	17.6
2022-06-20	8.2	19.1
2022-06-21	6.6	22.2
2022-06-22	8.7	25.2
2022-06-23	12.9	29.8
2022-06-24	16.5	23.4
2022-06-25	15.4	23
2022-06-26	14.9	20.8
2022-06-27	12.3	19.9
2022-06-28	10.3	23
2022-06-29	11.5	26.9
2022-06-30	13.8	23.6
2022-07-01	11.3	20.5
2022-07-02	10.2	23.9
2022-07-03	10.7	21.1
2022-07-04	9.4	22.1
2022-07-05	9.8	20.7
2022-07-06	9	21.7
2022-07-07	14.6	18.9
2022-07-08	9.7	23.5
2022-07-09	12.3	21.7
2022-07-10	12.9	21.1
2022-07-11	12.3	23.4
2022-07-12	10.5	26.8
2022-07-13	13.6	27.2
2022-07-14	9.8	22.5
2022-07-15	8.4	22
2022-07-16	9.6	21.6
2022-07-17	8	26
2022-07-18	10.6	32.2
2022-07-19	14.2	35.5
2022-07-20	18.3	27.7
2022-07-21	15.6	19.8
2022-07-22	12.7	20.7
2022-07-23	10.3	25.1
2022-07-24	13.5	29.4
2022-07-25	17.4	24.5
2022-07-26	10.5	20.2
2022-07-27	8.8	20.9
2022-07-28	11.5	22.3
2022-07-29	14.5	24.5
2022-07-30	11	24.4
2022-07-31	16.1	22
2022-08-01	11.2	22.8
2022-08-02	11.6	27.7
2022-08-03	17.1	29.5
2022-08-04	16.5	26.4
2022-08-05	8.6	21.6
2022-08-06	7.2	22.7
2022-08-07	8.4	23.1
2022-08-08	9.5	23.4
2022-08-09	11.2	25.7
2022-08-10	14.1	30
2022-08-11	14.1	31.6
2022-08-12	15.6	32.3
2022-08-13	12.1	31
2022-08-14	13.6	32.2
2022-08-15	17.5	26.2
2022-08-16	14.6	27.4
2022-08-17	17.5	21.2
2022-08-18	15	24.3
2022-08-19	13.2	24.2
2022-08-20	11.8	23.9
2022-08-21	10.8	24.5
2022-08-22	15.2	25.8
2022-08-23	15.6	28.5
2022-08-24	15.2	30.2
2022-08-25	17.5	32.6
2022-08-26	15.7	20.9
2022-08-27	10.6	22.3
2022-08-28	8.2	22
2022-08-29	9.9	22.5
2022-08-30	13.8	23.5
2022-08-31	13.9	23.8
